observation_date,IPG3113N
1991-05-01,82.5652
1991-06-01,89.3379
1991-07-01,87.1698
1991-08-01,95.6101
1991-09-01,96.8549
1991-10-01,108.2191
1991-11-01,112.8296
1991-12-01,109.0839
1992-01-01,91.0723
1992-02-01,89.7331
1992-03-01,82.8380
1992-04-01,80.2828
1992-05-01,78.2047
1992-06-01,80.8671
1992-07-01,80.2340
1992-08-01,83.7047
1992-09-01,90.5929
1992-10-01,103.4905
1992-11-01,106.2715
1992-12-01,105.6859
1993-01-01,91.4344
1993-02-01,89.0349
1993-03-01,82.5560
1993-04-01,78.0387
1993-05-01,77.0391
1993-06-01,82.6024
1993-07-01,83.3901
1993-08-01,90.1071
1993-09-01,94.6422
1993-10-01,108.7507
1993-11-01,108.7227
1993-12-01,106.9465
1994-01-01,91.7509
1994-02-01,87.7537
1994-03-01,85.7785
1994-04-01,77.8018
1994-05-01,75.7863
1994-06-01,81.6932
1994-07-01,84.0107
1994-08-01,89.6961
1994-09-01,95.5956
1994-10-01,107.1887
1994-11-01,107.2884
1994-12-01,108.8516
1995-01-01,93.8018
1995-02-01,86.4103
1995-03-01,83.7707
1995-04-01,82.0902
1995-05-01,81.5071
1995-06-01,85.5957
1995-07-01,85.5475
1995-08-01,89.0788
1995-09-01,93.3828
1995-10-01,104.8972
1995-11-01,107.9132
1995-12-01,112.3142
1996-01-01,90.7791
1996-02-01,91.9673
1996-03-01,89.6727
1996-04-01,82.6020
1996-05-01,84.5538
1996-06-01,87.4668
1996-07-01,85.6058
1996-08-01,94.1449
1996-09-01,99.9561
1996-10-01,109.9257
1996-11-01,116.5447
1996-12-01,118.5450
1997-01-01,96.3249
1997-02-01,95.4696
1997-03-01,92.7684
1997-04-01,85.4672
1997-05-01,84.7912
1997-06-01,88.4540
1997-07-01,85.6229
1997-08-01,95.7870
1997-09-01,100.2153
1997-10-01,112.8328
1997-11-01,117.7684
1997-12-01,118.5317
1998-01-01,104.3727
1998-02-01,102.1156
1998-03-01,96.5578
1998-04-01,92.4958
1998-05-01,93.3127
1998-06-01,96.5482
1998-07-01,94.9410
1998-08-01,102.4772
1998-09-01,105.3017
1998-10-01,115.5191
1998-11-01,119.2775
1998-12-01,118.3833
1999-01-01,102.2065
1999-02-01,99.8689
1999-03-01,93.2644
1999-04-01,92.5493
1999-05-01,93.9182
1999-06-01,94.3590
1999-07-01,93.9102
1999-08-01,98.0008
1999-09-01,101.6114
1999-10-01,114.6814
1999-11-01,114.7825
1999-12-01,117.2239
2000-01-01,107.2620
2000-02-01,104.3069
2000-03-01,99.2587
2000-04-01,100.9942
2000-05-01,94.6946
2000-06-01,99.4698
2000-07-01,97.4348
2000-08-01,102.6841
2000-09-01,109.4318
2000-10-01,119.1574
2000-11-01,118.1300
2000-12-01,120.8067
2001-01-01,106.7624
2001-02-01,106.1646
2001-03-01,103.3003
2001-04-01,99.9053
2001-05-01,98.3724
2001-06-01,100.4625
2001-07-01,98.8565
2001-08-01,104.2448
2001-09-01,107.5842
2001-10-01,109.3361
2001-11-01,112.1212
2001-12-01,112.9244
2002-01-01,102.3878
2002-02-01,99.7481
2002-03-01,96.0602
2002-04-01,91.1694
2002-05-01,88.6937
